X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8575157.65124413,4707893.24083699,11001402_11053492,11001402,1577.54394531,14TH ST NW & L ST NW,,f63110cea700e723ffd3d38eb1b4814c,1017,,4980669
-8573766.18422811,4711489.44705872,47089012_47089052,47089012,51.83399963,Alley-47089012 & Alley-47089052,13,dd14e4c613de467a47e141693d2c184e,5176,,4980670
-8577112.43802216,4705942.18485096,11044262_11060432,11060432,0,LINCOLN MEMORIAL CIR NW & HENRY BACON DR NW,13,53926d6be4f01a714328b9aaed0d2ee9,1362,,4980678
-8580405.25473482,4713980.42726441,11085182_11095222*1,11095222,1176.93103027,YUMA ST NW & TENLEY CIR NW,13,babb800711fbfc203084d3f1e60333c9,6156f,,4980688
-8573068.1712499,4706227.24327752,11025352_11057132,11057132,489.58700562,LOUISIANA AVE NW & CONSTITUTION AVE NW,13,9081adf69f7605b8430f00a0929a9cfa,2148,,4980708
-8573499.47173421,4717892.66559492,11016382_11019632,11019632,0,BUTTERNUT ST NW & BLAIR RD NW,13,c1e79a12626d1c28686b187b14efb425,5274,,4980712
-8569109.2500852,4712665.53931284,12069942_12081442,12081442,2895.27294922,SOUTH DAKOTA AVE NE & PERRY ST NE,13,f77e032930a493e1497e3c34427765e4,3211,,4980738
-8571119.98503793,4706216.82485892,12025352_12059602,12025352,1164.58605957,CONSTITUTION AVE NE & MASSACHUSETTS AVE NE,13,ca33062b5217622325d64b4873bb67f5,3078,,4980741
-8572956.47312647,4703991.75297948,14000102_14057852,14000102,371.52801514,1ST ST SW & M ST SW,,14369d034ff7942db16feeb7f581d577,2174,,4980742
-8574696.19919505,4716484.66231974,11040042_11072932,11072932,1408.77197266,QUACKENBOS ST NW & GEORGIA AVE NW,13,5d952d80e45fb787fc517b76f7d6a141,5261,,4980749
-8567679.36983896,4701741.41985507,13003002_13009362,13009362,3975.5390625,ALABAMA AVE SE & 30TH ST SE,13,8709d31ae2437092ed5802700b89a83b,4090,,4980753
-8576437.75428103,4708167.69706519,11001902_11057852,11001902,1504.88500977,19TH ST NW & M ST NW,13,a78856788a5c62f35c1c9773e0457155,1113,,4980768
